date,BAYC
2022-02-13,361
2022-02-14,135
2022-02-15,114
2022-02-16,271
2022-02-17,110
2022-02-18,202
2022-02-19,303
2022-02-20,287
2022-02-21,399
2022-02-22,277
2022-02-23,353
2022-02-24,185
2022-02-25,428
2022-02-26,473
2022-02-27,109
2022-02-28,427
2022-03-01,451
2022-03-02,226
2022-03-03,112
2022-03-04,181
2022-03-05,220
2022-03-06,165
2022-03-07,246
2022-03-08,139
2022-03-09,252
2022-03-10,241
2022-03-11,320
2022-03-12,230
2022-03-13,213
2022-03-14,300
2022-03-15,229
2022-03-16,429
2022-03-17,808
2022-03-18,708
2022-03-19,735
2022-03-20,379
2022-03-21,290
2022-03-22,320
2022-03-23,454
2022-03-24,389
2022-03-25,548
2022-03-26,431
2022-03-27,339
2022-03-28,419
2022-03-29,458
2022-03-30,256
2022-03-31,365
2022-04-01,544
2022-04-02,308
2022-04-03,368
2022-04-04,398
2022-04-05,423
2022-04-06,136
2022-04-07,478
2022-04-08,492
2022-04-09,201
2022-04-10,347
2022-04-11,437
2022-04-12,230
2022-04-13,295
2022-04-14,466
2022-04-15,356
2022-04-16,231
2022-04-17,469
2022-04-18,174
2022-04-19,241
2022-04-20,437
2022-04-21,507
2022-04-22,215
2022-04-23,433
2022-04-24,215
2022-04-25,531
2022-04-26,422
2022-04-27,157
2022-04-28,411
2022-04-29,630
2022-04-30,928
2022-05-01,1090
2022-05-02,410
2022-05-03,423
2022-05-04,851
2022-05-05,360
2022-05-06,369
2022-05-07,446
2022-05-08,179
2022-05-09,220
2022-05-10,303
2022-05-11,192
2022-05-12,231
2022-05-13,0
2022-05-20,426
2022-05-21,220
2022-05-22,101
2022-05-23,263
2022-05-24,254
2022-05-25,156
2022-05-26,77
2022-05-27,231
2022-05-28,225
2022-05-29,388
2022-05-30,212
2022-05-31,340
2022-06-01,340
2022-06-02,200
2022-06-03,170
2022-06-04,383
2022-06-05,514
2022-06-06,261
2022-06-07,458
2022-06-08,220
2022-06-09,300
2022-06-10,401
2022-06-11,414
2022-06-12,123
2022-06-13,580
2022-06-14,121
2022-06-15,406
2022-06-16,357
2022-06-17,361
2022-06-18,198
2022-06-19,250
2022-06-20,270
2022-06-21,554
2022-06-22,185
2022-06-23,218
2022-06-24,834
2022-06-25,622
2022-06-26,611
2022-06-27,257
2022-06-28,386
2022-06-29,578
2022-06-30,306
2022-07-01,382
2022-07-02,433
2022-07-03,150
2022-07-04,300
2022-07-05,220
2022-07-06,174
2022-07-07,313
2022-07-08,88
2022-07-09,193
2022-07-10,125
2022-07-11,100
2022-07-12,392
2022-07-13,188
2022-07-14,101
2022-07-15,244
2022-07-16,129
2022-07-17,119
2022-07-18,130
2022-07-19,180
2022-07-20,67
2022-07-21,158
2022-07-22,0
2022-09-09,174
2022-09-10,281
2022-09-11,100
2022-09-12,155
2022-09-13,356
2022-09-14,143
2022-09-15,132
2022-09-16,0
2022-09-23,243
2022-09-24,217
2022-09-25,183
2022-09-26,97
2022-09-27,126
2022-09-28,287
2022-09-29,290
2022-09-30,0
2022-10-07,92
2022-10-08,285
2022-10-09,256
2022-10-10,154
2022-10-11,343
2022-10-12,188
2022-10-13,405
2022-10-14,174
2022-10-15,228
2022-10-16,217
2022-10-17,167
2022-10-18,289
2022-10-19,241
2022-10-20,83
2022-10-21,0
2022-10-28,1354
2022-10-29,667
2022-10-30,832
2022-10-31,1166
2022-11-01,1101
2022-11-02,1065
2022-11-03,1144
2022-11-04,1740
2022-11-05,60
